Name             Called     Load       Ratio
Login            0          0          0.00
Logout           0          0          0.00
Relay            0          0          0.00
Notice           0          0          0.00
Shutdown         0          0          0.00
Guild            0          0          0.00
Disconnect       0          0          0.00
Shout            0          0          0.00
Setup            2          0          0.00
MessengerAdd     0          0          0.00
MessengerRemove  0          0          0.00
FindPosition     0          0          0.00
WarpCharacter    0          0          0.00
MessengerMobile  0          0          0.00
GuildWarMapIndex 0          0          0.00
Transfer         0          0          0.00
ReloadCRCList    0          0          0.00
LoginPing        0          0          0.00
CheckClientVersion 0          0          0.00
BlockChat        0          0          0.00
PCBangUpdate     0          0          0.00
CheckAwakeness   0          0          0.00
BigNotice        0          0          0.00
ChatNew          0          0          0.00
TPacketGGWhisperSystem 0          0          0.00
RewardInfo       0          0          0.00
