//type	cx	cy	sx	sy	z	dig	time	percent	count	vnum
//----------------------------------------------------------
m	696	87	10	10	0	0	5s	100	1	8051
m	698	106	10	10	0	0	5s	100	1	8051
m	700	126	10	10	0	0	5s	100	1	8051
m	704	148	10	10	0	0	5s	100	1	8051
m	708	177	10	10	0	0	5s	100	1	8051
m	696	206	10	10	0	0	5s	100	1	8051
m	677	209	10	10	0	0	5s	100	1	8051
m	678	181	10	10	0	0	5s	100	1	8051
m	679	154	10	10	0	0	5s	100	1	8051
m	675	123	10	10	0	0	5s	100	1	8051
m	669	101	10	10	0	0	5s	100	1	8051
m	655	115	10	10	0	0	5s	100	1	8051
m	656	146	10	10	0	0	5s	100	1	8051
m	653	175	10	10	0	0	5s	100	1	8051
m	655	210	10	10	0	0	5s	100	1	8051
m	651	218	10	10	0	0	5s	100	1	8051
m	636	209	10	10	0	0	5s	100	1	8051
m	636	176	10	10	0	0	5s	100	1	8051
m	635	167	10	10	0	0	5s	100	1	8051
m	634	121	10	10	0	0	5s	100	1	8051
m	621	129	10	10	0	0	5s	100	1	8051
m	613	138	10	10	0	0	5s	100	1	8051
m	606	150	10	10	0	0	5s	100	1	8051
m	602	161	10	10	0	0	5s	100	1	8051
m	611	175	10	10	0	0	5s	100	1	8051
m	616	188	10	10	0	0	5s	100	1	8051
m	618	209	10	10	0	0	5s	100	1	8051
m	616	228	10	10	0	0	5s	100	1	8051
m	599	234	10	10	0	0	5s	100	1	8051
m	591	232	10	10	0	0	5s	100	1	8051
m	586	210	10	10	0	0	5s	100	1	8051
m	591	193	10	10	0	0	5s	100	1	8051
m	594	168	10	10	0	0	5s	100	1	8051
m	581	139	10	10	0	0	5s	100	1	8051
m	594	168	10	10	0	0	5s	100	1	8051
m	586	224	10	10	0	0	5s	100	1	8051
m	567	237	10	10	0	0	5s	100	1	8051
m	552	226	10	10	0	0	5s	100	1	8051
m	542	208	10	10	0	0	5s	100	1	8051
m	537	179	10	10	0	0	5s	100	1	8051
m	525	153	10	10	0	0	5s	100	1	8051
m	525	123	10	10	0	0	5s	100	1	8051
m	531	106	10	10	0	0	5s	100	1	8051
m	518	86	10	10	0	0	5s	100	1	8051
m	495	86	10	10	0	0	5s	100	1	8051
m	467	86	10	10	0	0	5s	100	1	8051
m	442	83	10	10	0	0	5s	100	1	8051
m	423	82	10	10	0	0	5s	100	1	8051
m	400	80	10	10	0	0	5s	100	1	8051
m	382	79	10	10	0	0	5s	100	1	8051
m	360	82	10	10	0	0	5s	100	1	8051
m	351	85	10	10	0	0	5s	100	1	8051
m	335	104	10	10	0	0	5s	100	1	8051
m	339	116	10	10	0	0	5s	100	1	8051
m	357	114	10	10	0	0	5s	100	1	8051
m	392	101	10	10	0	0	5s	100	1	8051
m	374	126	10	10	0	0	5s	100	1	8051
m	360	132	10	10	0	0	5s	100	1	8051
m	357	155	10	10	0	0	5s	100	1	8051
m	372	171	10	10	0	0	5s	100	1	8051
m	391	176	10	10	0	0	5s	100	1	8051
m	404	187	10	10	0	0	5s	100	1	8051
m	406	213	10	10	0	0	5s	100	1	8051
m	422	224	10	10	0	0	5s	100	1	8051
m	449	225	10	10	0	0	5s	100	1	8051
m	487	222	10	10	0	0	5s	100	1	8051
m	511	222	10	10	0	0	5s	100	1	8051
m	505	193	10	10	0	0	5s	100	1	8051
m	458	203	10	10	0	0	5s	100	1	8051
m	484	202	10	10	0	0	5s	100	1	8051
m	540	163	10	10	0	0	5s	100	1	8051
m	553	174	10	10	0	0	5s	100	1	8051
m	604	251	10	10	0	0	5s	100	1	8051
m	414	223	10	10	0	0	5s	100	1	8051
m	400	242	10	10	0	0	5s	100	1	8051
m	397	256	10	10	0	0	5s	100	1	8051
m	408	266	10	10	0	0	5s	100	1	8051
m	404	275	10	10	0	0	5s	100	1	8051
m	395	282	10	10	0	0	5s	100	1	8051
m	386	287	10	10	0	0	5s	100	1	8051
m	408	296	10	10	0	0	5s	100	1	8051
m	412	305	10	10	0	0	5s	100	1	8051
m	397	311	10	10	0	0	5s	100	1	8051
m	389	317	10	10	0	0	5s	100	1	8051
m	397	326	10	10	0	0	5s	100	1	8051
m	412	328	10	10	0	0	5s	100	1	8051
m	420	330	10	10	0	0	5s	100	1	8051
m	409	350	10	10	0	0	5s	100	1	8051
m	401	365	10	10	0	0	5s	100	1	8051
m	402	375	10	10	0	0	5s	100	1	8051
m	407	377	10	10	0	0	5s	100	1	8051
m	421	360	10	10	0	0	5s	100	1	8051
m	437	355	10	10	0	0	5s	100	1	8051
m	445	356	10	10	0	0	5s	100	1	8051
m	458	360	10	10	0	0	5s	100	1	8051
m	469	361	10	10	0	0	5s	100	1	8051
m	476	371	10	10	0	0	5s	100	1	8051
m	484	377	10	10	0	0	5s	100	1	8051
m	492	376	10	10	0	0	5s	100	1	8051
m	501	382	10	10	0	0	5s	100	1	8051
m	512	392	10	10	0	0	5s	100	1	8051
m	522	400	10	10	0	0	5s	100	1	8051
m	533	407	10	10	0	0	5s	100	1	8051
m	545	412	10	10	0	0	5s	100	1	8051
m	557	417	10	10	0	0	5s	100	1	8051
m	571	426	10	10	0	0	5s	100	1	8051
m	590	432	10	10	0	0	5s	100	1	8051
m	603	433	10	10	0	0	5s	100	1	8051
m	616	423	10	10	0	0	5s	100	1	8051
m	631	403	10	10	0	0	5s	100	1	8051
m	649	386	10	10	0	0	5s	100	1	8051
m	674	378	10	10	0	0	5s	100	1	8051
m	701	369	10	10	0	0	5s	100	1	8051
m	725	362	10	10	0	0	5s	100	1	8051
m	691	395	10	10	0	0	5s	100	1	8051
m	663	407	10	10	0	0	5s	100	1	8051
m	648	425	10	10	0	0	5s	100	1	8051
m	634	441	10	10	0	0	5s	100	1	8051
m	662	404	10	10	0	0	5s	100	1	8051
m	694	368	10	10	0	0	5s	100	1	8051
m	710	355	10	10	0	0	5s	100	1	8051
m	709	353	10	10	0	0	5s	100	1	8051
m	668	385	10	10	0	0	5s	100	1	8051
m	642	409	10	10	0	0	5s	100	1	8051
m	604	429	10	10	0	0	5s	100	1	8051
m	562	442	10	10	0	0	5s	100	1	8051
m	553	454	10	10	0	0	5s	100	1	8051
m	562	462	10	10	0	0	5s	100	1	8051
m	562	486	10	10	0	0	5s	100	1	8051
m	560	510	10	10	0	0	5s	100	1	8051
m	575	525	10	10	0	0	5s	100	1	8051
m	589	535	10	10	0	0	5s	100	1	8051
m	600	545	10	10	0	0	5s	100	1	8051
m	615	566	10	10	0	0	5s	100	1	8051
m	634	608	10	10	0	0	5s	100	1	8051
m	644	632	10	10	0	0	5s	100	1	8051
m	649	652	10	10	0	0	5s	100	1	8051
m	623	624	10	10	0	0	5s	100	1	8051
m	616	604	10	10	0	0	5s	100	1	8051
m	608	594	10	10	0	0	5s	100	1	8051
m	581	592	10	10	0	0	5s	100	1	8051
m	590	582	10	10	0	0	5s	100	1	8051
m	596	567	10	10	0	0	5s	100	1	8051
m	574	559	10	10	0	0	5s	100	1	8051
m	559	557	10	10	0	0	5s	100	1	8051
m	542	526	10	10	0	0	5s	100	1	8051
m	545	500	10	10	0	0	5s	100	1	8051
m	538	466	10	10	0	0	5s	100	1	8051
m	516	447	10	10	0	0	5s	100	1	8051
m	498	429	10	10	0	0	5s	100	1	8051
m	470	403	10	10	0	0	5s	100	1	8051
m	442	398	10	10	0	0	5s	100	1	8051
m	420	407	10	10	0	0	5s	100	1	8051
m	406	431	10	10	0	0	5s	100	1	8051
m	404	441	10	10	0	0	5s	100	1	8051
m	380	458	10	10	0	0	5s	100	1	8051
m	368	430	10	10	0	0	5s	100	1	8051
m	357	460	10	10	0	0	5s	100	1	8051
m	369	481	10	10	0	0	5s	100	1	8051
m	434	476	10	10	0	0	5s	100	1	8051
m	467	436	10	10	0	0	5s	100	1	8051
m	440	416	10	10	0	0	5s	100	1	8051
m	422	440	10	10	0	0	5s	100	1	8051
m	420	457	10	10	0	0	5s	100	1	8051
m	491	470	10	10	0	0	5s	100	1	8051
m	499	489	10	10	0	0	5s	100	1	8051
m	478	491	10	10	0	0	5s	100	1	8051
m	491	498	10	10	0	0	5s	100	1	8051
m	518	460	10	10	0	0	5s	100	1	8051
m	473	453	10	10	0	0	5s	100	1	8051
m	503	478	10	10	0	0	5s	100	1	8051
m	530	491	10	10	0	0	5s	100	1	8051
m	532	513	10	10	0	0	5s	100	1	8051
m	543	527	10	10	0	0	5s	100	1	8051
m	571	551	10	10	0	0	5s	100	1	8051
m	556	566	10	10	0	0	5s	100	1	8051
m	555	572	10	10	0	0	5s	100	1	8051
m	550	579	10	10	0	0	5s	100	1	8051
m	597	621	10	10	0	0	5s	100	1	8051
m	624	596	10	10	0	0	5s	100	1	8051
m	633	585	10	10	0	0	5s	100	1	8051
m	679	689	10	10	0	0	5s	100	1	8051
m	646	703	10	10	0	0	5s	100	1	8051
m	643	695	10	10	0	0	5s	100	1	8051
m	657	676	10	10	0	0	5s	100	1	8051
m	637	670	10	10	0	0	5s	100	1	8051
m	603	684	10	10	0	0	5s	100	1	8051
m	595	681	10	10	0	0	5s	100	1	8051
m	616	652	10	10	0	0	5s	100	1	8051
m	618	635	10	10	0	0	5s	100	1	8051
m	616	667	10	10	0	0	5s	100	1	8051
m	601	692	10	10	0	0	5s	100	1	8051
m	604	707	10	10	0	0	5s	100	1	8051
m	580	708	10	10	0	0	5s	100	1	8051
m	569	695	10	10	0	0	5s	100	1	8051
m	581	675	10	10	0	0	5s	100	1	8051
m	577	677	10	10	0	0	5s	100	1	8051
m	604	668	10	10	0	0	5s	100	1	8051
m	567	663	10	10	0	0	5s	100	1	8051
m	548	682	10	10	0	0	5s	100	1	8051
m	543	699	10	10	0	0	5s	100	1	8051
m	550	706	10	10	0	0	5s	100	1	8051
m	553	697	10	10	0	0	5s	100	1	8051
