//type	cx	cy	sx	sy	z	dig	time	percent	count	vnum
//----------------------------------------------------------
// natale
m	561	289	0	0	0	3	1m	100	1	20384
m	567	284	0	0	0	4	1m	100	1	20031

m	576	446	0	0	0	6	1m	100	1	20354

// Dottrine
m	722	273	0	0	0	8	1m	100	1	20300
m	726	273	0	0	0	8	1m	100	1	20301
m	728	273	0	0	0	8	1m	100	1	20302
m	732	273	0	0	0	8	1m	100	1	20303
m	736	273	0	0	0	8	1m	100	1	20304
m	740	273	0	0	0	8	1m	100	1	20305
m	744	273	0	0	0	8	1m	100	1	20306
m	748	273	0	0	0	8	1m	100	1	20307

//Villo Generale
m	594	321	0	0	0	3	1m	100	1	11000
m	629	347	0	0	0	3	1m	100	1	11001
m	588	381	0	0	0	5	1m	100	1	9003
m	593	381	0	0	0	5	1m	100	1	20016
m	583	381	0	0	0	5	1m	100	1	20091
m	554	382	0	0	0	4	1m	100	1	9001
m	551	382	0	0	0	6	1m	100	1	9013
m	542	351	0	0	0	4	1m	100	1	9002
m	542	347	0	0	0	2	1m	100	1	20017
m	647	322	0	0	0	7	1m	100	1	9009
m	619	267	0	0	0	1	1m	100	1	9006
m	646	269	0	0	0	7	1m	100	1	20084
m	604	222	0	0	0	8	1m	100	1	20011
m	700	509	0	0	0	6	1m	100	1	20005
m	700	496	0	0	0	6	1m	100	1	60003
m	659	490	0	0	0	3	1m	100	1	20381
m	659	484	0	0	0	3	1m	100	1	20095
m	701	472	0	0	0	7	1m	100	1	20022
m	701	462	0	0	0	7	1m	100	1	20087
m	701	467	0	0	0	7	1m	100	1	20024
m	659	459	0	0	0	3	1m	100	1	20018
m	659	451	0	0	0	3	1m	100	1	20094
m	659	444	0	0	0	3	1m	100	1	20086
m	712	407	0	0	0	6	1m	100	1	20092
m	719	396	0	0	0	6	1m	100	1	20090
m	648	293	0	0	0	6	1m	100	1	20001
m	542	295	0	0	0	3	1m	100	1	20503
m	542	290	0	0	0	3	1m	100	1	20504
m	538	440	0	0	0	2	1m	100	1	20349
m	571	267	0	0	0	1	1m	100	1	20369
m	391	193	0	0	0	6	1m	100	1	9009
m	320	564	0	0	0	3	1m	100	1	9009
g	526	442	1	1	0	0	1m	100	1	12007


