//type	cx	cy	sx	sy	z	dig	time	percent	count	vnum
//----------------------------------------------------------
m	200	212	5	5	0	0	10s	100	1	8067
m	213	207	5	5	0	0	10s	100	1	8067
m	227	197	5	5	0	0	10s	100	1	8067
m	227	186	5	5	0	0	10s	100	1	8067
m	218	180	5	5	0	0	10s	100	1	8067
m	209	180	5	5	0	0	10s	100	1	8067
m	206	192	5	5	0	0	10s	100	1	8067
m	208	199	5	5	0	0	10s	100	1	8067
m	194	203	5	5	0	0	10s	100	1	8067
m	202	181	5	5	0	0	10s	100	1	8067
m	196	167	5	5	0	0	10s	100	1	8067
m	189	171	5	5	0	0	10s	100	1	8067
m	179	158	5	5	0	0	10s	100	1	8067
m	170	155	5	5	0	0	10s	100	1	8067
m	168	141	5	5	0	0	10s	100	1	8067
m	172	129	5	5	0	0	10s	100	1	8067
m	157	117	5	5	0	0	10s	100	1	8067
m	138	117	5	5	0	0	10s	100	1	8067
m	127	123	5	5	0	0	10s	100	1	8067
m	120	136	5	5	0	0	10s	100	1	8067
m	133	133	5	5	0	0	10s	100	1	8067
m	148	126	5	5	0	0	10s	100	1	8067
m	160	135	5	5	0	0	10s	100	1	8067
m	143	143	5	5	0	0	10s	100	1	8067
m	128	155	5	5	0	0	10s	100	1	8067
m	111	159	5	5	0	0	10s	100	1	8067
m	106	171	5	5	0	0	10s	100	1	8067
m	105	183	5	5	0	0	10s	100	1	8067
m	128	168	5	5	0	0	10s	100	1	8067
m	114	202	5	5	0	0	10s	100	1	8067
m	102	199	5	5	0	0	10s	100	1	8067
m	91	202	5	5	0	0	10s	100	1	8067
m	83	210	5	5	0	0	10s	100	1	8067
m	89	219	5	5	0	0	10s	100	1	8067
m	111	211	5	5	0	0	10s	100	1	8067
m	110	223	5	5	0	0	10s	100	1	8067
m	99	211	5	5	0	0	10s	100	1	8067
m	119	223	5	5	0	0	10s	100	1	8067
m	124	208	5	5	0	0	10s	100	1	8067
m	153	223	5	5	0	0	10s	100	1	8067
m	156	236	5	5	0	0	10s	100	1	8067
m	172	222	5	5	0	0	10s	100	1	8067
m	161	248	5	5	0	0	10s	100	1	8067
m	173	264	5	5	0	0	10s	100	1	8067
m	169	239	5	5	0	0	10s	100	1	8067
m	163	280	5	5	0	0	10s	100	1	8067
m	146	300	5	5	0	0	10s	100	1	8067
m	155	313	5	5	0	0	10s	100	1	8067
m	177	286	5	5	0	0	10s	100	1	8067
m	186	221	5	5	0	0	10s	100	1	8067
m	243	197	5	5	0	0	10s	100	1	8067
