//type	cx	cy	sx	sy	z	dig	time	percent	count	vnum
//----------------------------------------------------------
m	123	654	10	10	0	0	5s	100	1	8065
m	126	669	10	10	0	0	5s	100	1	8065
m	145	671	10	10	0	0	5s	100	1	8065
m	142	662	10	10	0	0	5s	100	1	8065
m	137	652	10	10	0	0	5s	100	1	8065
m	134	642	10	10	0	0	5s	100	1	8065
m	150	631	10	10	0	0	5s	100	1	8065
m	164	636	10	10	0	0	5s	100	1	8065
m	156	649	10	10	0	0	5s	100	1	8065
m	169	656	10	10	0	0	5s	100	1	8065
m	169	670	10	10	0	0	5s	100	1	8065
m	206	665	10	10	0	0	5s	100	1	8065
m	186	674	10	10	0	0	5s	100	1	8065
m	190	660	10	10	0	0	5s	100	1	8065
m	202	645	10	10	0	0	5s	100	1	8065
m	179	649	10	10	0	0	5s	100	1	8065
m	184	633	10	10	0	0	5s	100	1	8065
m	187	621	10	10	0	0	5s	100	1	8065
m	163	623	10	10	0	0	5s	100	1	8065
m	151	610	10	10	0	0	5s	100	1	8065
m	163	609	10	10	0	0	5s	100	1	8065
m	178	604	10	10	0	0	5s	100	1	8065
m	187	593	10	10	0	0	5s	100	1	8065
m	167	595	10	10	0	0	5s	100	1	8065
m	149	596	10	10	0	0	5s	100	1	8065
m	146	584	10	10	0	0	5s	100	1	8065
m	159	572	10	10	0	0	5s	100	1	8065
m	178	563	10	10	0	0	5s	100	1	8065
m	167	562	10	10	0	0	5s	100	1	8065
m	199	560	10	10	0	0	5s	100	1	8065
m	215	567	10	10	0	0	5s	100	1	8065
m	189	571	10	10	0	0	5s	100	1	8065
m	176	577	10	10	0	0	5s	100	1	8065
m	176	588	10	10	0	0	5s	100	1	8065
m	200	573	10	10	0	0	5s	100	1	8065
m	219	552	10	10	0	0	5s	100	1	8065
m	240	559	10	10	0	0	5s	100	1	8065
m	227	563	10	10	0	0	5s	100	1	8065
m	243	540	10	10	0	0	5s	100	1	8065
m	256	553	10	10	0	0	5s	100	1	8065
m	231	549	10	10	0	0	5s	100	1	8065
m	230	534	10	10	0	0	5s	100	1	8065
m	241	524	10	10	0	0	5s	100	1	8065
m	274	515	10	10	0	0	5s	100	1	8065
m	293	525	10	10	0	0	5s	100	1	8065
m	294	534	10	10	0	0	5s	100	1	8065
m	284	543	10	10	0	0	5s	100	1	8065
m	270	541	10	10	0	0	5s	100	1	8065
m	270	531	10	10	0	0	5s	100	1	8065
m	251	525	10	10	0	0	5s	100	1	8065
m	177	544	10	10	0	0	5s	100	1	8065
m	212	532	10	10	0	0	5s	100	1	8065
m	198	538	10	10	0	0	5s	100	1	8065
m	183	525	10	10	0	0	5s	100	1	8065
m	158	528	10	10	0	0	5s	100	1	8065
m	144	521	10	10	0	0	5s	100	1	8065
m	137	510	10	10	0	0	5s	100	1	8065
m	158	491	10	10	0	0	5s	100	1	8065
m	189	488	10	10	0	0	5s	100	1	8065
m	170	510	10	10	0	0	5s	100	1	8065
m	193	505	10	10	0	0	5s	100	1	8065
m	218	504	10	10	0	0	5s	100	1	8065
m	222	518	10	10	0	0	5s	100	1	8065
m	243	507	10	10	0	0	5s	100	1	8065
m	244	491	10	10	0	0	5s	100	1	8065
m	249	479	10	10	0	0	5s	100	1	8065
m	253	466	10	10	0	0	5s	100	1	8065
m	248	463	10	10	0	0	5s	100	1	8065
m	226	473	10	10	0	0	5s	100	1	8065
m	242	476	10	10	0	0	5s	100	1	8065
m	227	487	10	10	0	0	5s	100	1	8065
m	206	488	10	10	0	0	5s	100	1	8065
m	203	473	10	10	0	0	5s	100	1	8065
m	209	464	10	10	0	0	5s	100	1	8065
m	181	463	10	10	0	0	5s	100	1	8065
m	163	474	10	10	0	0	5s	100	1	8065
m	146	484	10	10	0	0	5s	100	1	8065
m	134	493	10	10	0	0	5s	100	1	8065
m	127	474	10	10	0	0	5s	100	1	8065
m	151	463	10	10	0	0	5s	100	1	8065
m	174	450	10	10	0	0	5s	100	1	8065
m	177	437	10	10	0	0	5s	100	1	8065
m	171	425	10	10	0	0	5s	100	1	8065
m	167	460	10	10	0	0	5s	100	1	8065
m	191	451	10	10	0	0	5s	100	1	8065
m	141	473	10	10	0	0	5s	100	1	8065
