TOOLTIP_STORED_EXP	Experienta stocata: %s
TOOLTIP_NO_STORED_EXP	Sticla este goala.
COMMAND_MAP1	Map1
WIKI_CATEGORY_PERSO	SETURI PERSO
WIKI_SUBCATEGORY_PERSO	PERSO CHEST
CHEST_DROP_INFO	|Eemoji/key_ctrl|e + |Eemoji/key_rclick|e - Vezi continutul cufarului!
CHEST_BASE_DROP_INFO	|Eemoji/key_ctrl|e + |Eemoji/key_shift|e + |Eemoji/key_rclick|e - Vezi cuferele ce contin acest item.
EXTENDET_BATTLE_PASS_ITS_NOT_BATTLEPASS_ITEM	Acest item nu poate activa battlepassul premium.
EXTENDET_BATTLE_PASS_RANKLIST_REFRESH	Clasamentul pentru battlepass a fost actualizat!
EXTENDET_BATTLE_PASS_RANKLIST_WAIT_TO_REFRESH	Trebuie sa astepti %d secunde pentru a actualiza clasamentul!
IYILESTIRME	Leac
EJDERHA	Dragon
PET_KALAN_TECRUBE	Experienta ramasa: 
PET_GUNCEL_TECRUBE	Experienta:
STAT_MINUS_CON	Adaptarea Vitalitatii (sansa ramasa: %d)
STAT_MINUS_DEX	Adaptarea Dexteritatii (sansa ramasa: %d)
STAT_MINUS_INT	Adaptarea inteligentei (sansa ramasa: %d)
STAT_MINUS_STR	Ajustarea Puterii (sansa ramasa: %d)
STAT_TOOLTIP_ACTION	Actiuni
STAT_TOOLTIP_ATT	Valoarea Atacului
STAT_TOOLTIP_ATT_SPEED	Viteza de atac
STAT_TOOLTIP_BASE_LEVEL	Nivel
STAT_TOOLTIP_CAST_SPEED	Viteza farmecului
STAT_TOOLTIP_CON	Creste PV si aparare
STAT_TOOLTIP_CONQUEROR_LEVEL	Nivel Campion
STAT_TOOLTIP_DEF	Aparare
STAT_TOOLTIP_DEX	Creste atac si evadare
STAT_TOOLTIP_DODGE_PER	Sansa evitare atacul cu sageti
STAT_TOOLTIP_EXP	EXP
STAT_TOOLTIP_HP	PV
STAT_TOOLTIP_IMG_CON	VIT: Creste PV si aparare
STAT_TOOLTIP_IMG_DEX	DEX: Creste atac si evadare
STAT_TOOLTIP_IMG_INT	INT: Creste PM, atac magic si aparare
STAT_TOOLTIP_IMG_STR	STR: Creste valoarea atacului si daunele
STAT_TOOLTIP_INT	Crestere PM, atac magic si aparare
STAT_TOOLTIP_LEVEL	Nivel
STAT_TOOLTIP_MAG_ATT	Valoare de atac magic
STAT_TOOLTIP_MAG_DEF	Aparare magica
STAT_TOOLTIP_MOVE_SPEED	Viteza de miscare
STAT_TOOLTIP_PASSIVE	Bonus Relicva
STAT_TOOLTIP_POINT	Puncte
STAT_TOOLTIP_REACTION	Reactii
STAT_TOOLTIP_SHP	Vei primi o deducere mai mica la PV-ul maxim in Yohara.
STAT_TOOLTIP_SIMMUNE	Vei primi o deducere mai mica la rezistenta la schimbarile de status in Yohara.
STAT_TOOLTIP_SMOVE	Vei primi o deducere mai mica la viteza de miscare in Yohara.
STAT_TOOLTIP_SP	PM
STAT_TOOLTIP_SPECIAL_ACTION	Actiuni Speciale
STAT_TOOLTIP_SSTR	Vei primi o deducere mai mica de daune la atacurile tale din Yohara.
STAT_TOOLTIP_STAT	Valori
STAT_TOOLTIP_STR	Creste valoarea atacului si daunele
STAT_TOOLTIP_SUNGMA_HP	Schimba PV in functie de harta si vointa Sung Ma (VIT) a inamicului
STAT_TOOLTIP_SUNGMA_IMMUNE	Schimba sensibilitatea la efectele de status in functie de harta si vointa Sung Ma (INT) a inamicului
STAT_TOOLTIP_SUNGMA_MOVE	Schimba viteza de miscare in functie de harta si vointa Sung Ma (RES) a inamicului
STAT_TOOLTIP_SUNGMA_STR	Schimba atacul in functie de harta si vointa Sung Ma (STR) a inamicului
STAT_TOOLTIP_SUPPORT_SKILL	Abilitati Secundare
STAT_TOOLTIP_TAB_CHARACTER	Caracter
