OPEN_REBORN	[i] Open Reborn
METIN_SIZE	Marime Metine
CHEST_DROP_TITLE	Continut Cufar
AEON_PERFORMANCE	FPS:
EXTENDET_BATTLE_PASS_TITLE	Battle-Pass
EXTENDET_BATTLE_PASS_RANK_ICON_RANK	Loc
EXTENDET_BATTLE_PASS_RANK_ICON_NAME Nume Jucator
EXTENDET_BATTLE_PASS_RANK_ICON_TIME	Timp de la prima misiune
EXTENDET_BATTLE_PASS_NO_PLANNED_NORMAL_BATTLEPASS	Nu este activ niciun battlepass normal pentru moment!
EXTENDET_BATTLE_PASS_PLANNED_NEXT_NORMAL_BATTLEPASS	Este planuit un battlepass de tip NORMAL!
EXTENDET_BATTLE_PASS_TIME_TO_NEXT_NORMAL_BATTLEPASS	Incepe in: %s
EXTENDET_BATTLE_PASS_NO_PLANNED_PREMIUM_BATTLEPASS	Nu este activ niciun battlepass premium pentru moment!
EXTENDET_BATTLE_PASS_PLANNED_NEXT_PREMIUM_BATTLEPASS	Este planuit un battlepass de tip PREMIUM!
EXTENDET_BATTLE_PASS_TIME_TO_NEXT_PREMIUM_BATTLEPASS	Incepe in: %s
EXTENDET_BATTLE_PASS_NO_PLANNED_EVENT_BATTLEPASS	Nu este activ niciun battlepass eveniment pentru moment!
EXTENDET_BATTLE_PASS_PLANNED_NEXT_EVENT_BATTLEPASS	Este planuit un battlepass de tip EVENIMENT!
EXTENDET_BATTLE_PASS_TIME_TO_NEXT_EVENT_BATTLEPASS	Incepe in: %s
EXTENDET_BATTLE_PASS_SEASON_TITLE	Informatii Battlepass
EXTENDET_BATTLE_PASS_SEASON_NAME	Luna: %s
EXTENDET_BATTLE_PASS_SEASON_TOTAL_MISSIONS	Misiuni luna aceasta: %d
EXTENDET_BATTLE_PASS_SEASON_CURRENT_MISSIONS	Misiuni completate: %d / %d
EXTENDET_BATTLE_PASS_SEASON_DATE_FROM	Din:
EXTENDET_BATTLE_PASS_SEASON_DATE_TO	Pana:
EXTENDET_BATTLE_PASS_SEASON_REST_TIME	Timp Ramas: %s
EXTENDET_BATTLE_PASS_SEASON_PROGRESS	Progres total:
EXTENDET_BATTLE_PASS_MISSION_MISSION_NAME	Nume Misiune:
EXTENDET_BATTLE_PASS_MISSION_NAME	Nume Misiune:
EXTENDET_BATTLE_PASS_MISSION_STATUS	Status:
EXTENDET_BATTLE_PASS_MISSION_INFO	Informatii:
EXTENDET_BATTLE_PASS_MISSION_STATUS_IN_PROGRESS	|cfffeff7d|H|hNecompletat!|h|r
EXTENDET_BATTLE_PASS_MISSION_STATUS_FINISH	|cff82ff7d|H|hCompletat!|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION	Informatii:
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_MONSTER	Monstru: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_MINLEVEL	Nivel Minim: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_ITEM	Obiect: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_ORE	Minereu: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_FISH	Peste: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_MAPNAME	Harta: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_GUILDWARTYPE	Guild War Type: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_PET_MINTYPE	Min. Pet-Typ: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_DUNGEON	Dungeon: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_MINIGAME	Minigame: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_COUNT	Left: |cfffeff7d|H|h%s|h|r / |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_COUNT_GOLD	Ramas: |cfffeff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_PERCENT	Completat: |cfffeff7d|H|h%.2f%%|h|r
EXTENDET_BATTLE_PASS_DESCRIPTION	Descriere:
EXTENDET_BATTLE_PASS_MISSION_COMPLEDET	Misiune Completata!
EXTENDET_BATTLE_PASS_NONE_COND_TITLE_MOB	Monstru
EXTENDET_BATTLE_PASS_NONE_COND_TITLE_ITEM	Obiecte
EXTENDET_BATTLE_PASS_NONE_COND_TITLE_FISH	Peste
EXTENDET_BATTLE_PASS_NONE_COND_TITLE_DUNGEON	Dungeonuri Completate:
EXTENDET_BATTLE_PASS_NONE_COND_TITLE_MINIGAME	Mini-Games
EXTENDET_BATTLE_PASS_TYPENAME_1	Ucide %s
EXTENDET_BATTLE_PASS_TYPENAME_1_DESC_1	Ucide %sx %s.
EXTENDET_BATTLE_PASS_TYPENAME_1_DESC_2	Ucide %sx monstrii la intamplare.
EXTENDET_BATTLE_PASS_TYPENAME_2	Ucide %s Jucatori!
EXTENDET_BATTLE_PASS_TYPENAME_2_DESC_1	Ucide %s Jucatori.Jucatorii pot fi din orice regat.Jucatorii trebuie sa fie de minim nivel: %s
EXTENDET_BATTLE_PASS_TYPENAME_2_DESC_2	Ucide %s Jucatori.Jucatorii pot fi din orice regat.Nu este nicio limita de nivel!
EXTENDET_BATTLE_PASS_TYPENAME_3	Pagube monstrii in total
EXTENDET_BATTLE_PASS_TYPENAME_3_DESC_1	Erreiche einen Gesamten Schaden von %s bei %s.
EXTENDET_BATTLE_PASS_TYPENAME_3_DESC_2	Erreiche einen Gesamten Schaden von %s. Es wird bei jedem Monster gez�hlt!
EXTENDET_BATTLE_PASS_TYPENAME_4	Gesamtschaden an Spielern
EXTENDET_BATTLE_PASS_TYPENAME_4_DESC_1	Erreiche einen Gesamten Schaden von %s bei Spielern mit Min-Lv %d. Spieler aus jedem Reich z�hlen.
EXTENDET_BATTLE_PASS_TYPENAME_4_DESC_2	Erreiche einen Gesamten Schaden von %s bei Spielern. Spieler aus jedem Reich z�hlen.
EXTENDET_BATTLE_PASS_TYPENAME_5	Foloseste %s
EXTENDET_BATTLE_PASS_TYPENAME_5_DESC_1	Foloseste %sx %s pentru a completa misiunea.
EXTENDET_BATTLE_PASS_TYPENAME_5_DESC_2	Foloseste sau Deschide %sx pentru a completa misiunea.
EXTENDET_BATTLE_PASS_TYPENAME_6	Vinde %s
EXTENDET_BATTLE_PASS_TYPENAME_6_DESC_1	Verkaufe %sx %s bei NPC's um diese Mission zu erf�llen.
EXTENDET_BATTLE_PASS_TYPENAME_6_DESC_2	Verkaufe %sx ein Gegenstand bei NPC's um diese Mission zu erf�llen.
EXTENDET_BATTLE_PASS_TYPENAME_7	Crafteaza %s
EXTENDET_BATTLE_PASS_TYPENAME_7_DESC_1	Crafte %sx %s um diese Mission zu erf�llen.
EXTENDET_BATTLE_PASS_TYPENAME_7_DESC_2	Crafte %sx ein Gegenstand um diese Mission zu erf�llen.
EXTENDET_BATTLE_PASS_TYPENAME_8	Pluseaza %s
EXTENDET_BATTLE_PASS_TYPENAME_8_DESC_1	Pluseaza %sx %s pentru a completa misiunea.
EXTENDET_BATTLE_PASS_TYPENAME_8_DESC_2	Evolueaza %s la urmatorul nivel pentru a completa misiunea.
EXTENDET_BATTLE_PASS_TYPENAME_9	Zerst�re %s
EXTENDET_BATTLE_PASS_TYPENAME_9_DESC_1	Zerst�re %sx %s um diese Mission zu erf�llen.
EXTENDET_BATTLE_PASS_TYPENAME_9_DESC_2	Zerst�re %s Gegenst�nde um diese Mission zu erf�llen.
EXTENDET_BATTLE_PASS_TYPENAME_10_1	Erbeute %s
EXTENDET_BATTLE_PASS_TYPENAME_10_2	Baue %s ab
EXTENDET_BATTLE_PASS_TYPENAME_10_1_DESC_1	Erbeute %sx %s von Monstern um diese Mission zu erf�llen.
EXTENDET_BATTLE_PASS_TYPENAME_10_2_DESC_1	Baue %sx %s ab um diese Mission zu erf�llen
EXTENDET_BATTLE_PASS_TYPENAME_10_DESC_2	Erbeute %s verschiedene Gegenst�nde um diese Mission zu erf�llen.
